PreMintemp,ActMinTemp
8.1477165,7.839999999999999
9.639551,9.329999999999998
11.601807,7.519999999999999
9.326017,6.89
8.773712,8.83
10.541149,7.709999999999999
8.99252,8.57
9.889918,8.57
9.756162,8.559999999999999
9.777272,10.81
12.54699,11.549999999999999
12.543397,11.48
12.110182,6.639999999999999
7.524151,9.069999999999999
11.267079,12.049999999999999
13.095178,10.329999999999998
10.74854,11.36
12.647372,11.789999999999997
12.478195,12.68
13.098125,12.739999999999998
13.139936,11.36
11.701604,12.620000000000001
13.728166,13.670000000000002
14.599196,13.240000000000002
13.836602,9.85
10.216701,7.849999999999999
8.842079,4.999999999999999
6.413575,7.12
8.728448,7.820000000000001
9.956055,10.84
12.927455,7.699999999999999
8.735579,8.269999999999998
10.25416,9.799999999999999
11.347585,11.46
12.801139,11.75
12.369306,12.25
12.951418,12.42
13.033881,14.619999999999997
15.417923,13.83
13.799579,16.17
16.79582,12.199999999999998
12.061317,6.939999999999999
6.1703415,5.62
6.9633293,7.049999999999999
8.428047,9.89
11.690088,12.560000000000002
14.346436,14.95
16.195004,15.279999999999998
15.882932,11.71
11.978091,8.52
8.531842,10.239999999999998
11.0962515,12.620000000000001
13.502182,11.27
12.078867,9.039999999999997
9.110001,6.549999999999998
7.602035,8.699999999999998
10.179015,11.22
12.597865,13.880000000000003
15.150578,12.429999999999998
13.307009,13.680000000000001
14.176363,16.370000000000005
17.04938,17.330000000000002
17.35244,15.249999999999998
14.38979,14.93
15.558284,14.53
14.282402,15.569999999999999
16.327639,16.25
16.614029,16.130000000000003
16.010166,15.84
16.269627,11.3
10.610375,11.509999999999998
12.358353,12.590000000000002
13.644945,13.220000000000002
13.859072,15.6
16.832273,17.170000000000005
17.610733,17.770000000000003
17.991602,19.3
19.310549,19.84
19.298311,19.040000000000003
18.577282,11.899999999999999
11.355158,11.119999999999997
11.614415,11.97
13.127445,13.2
14.280455,15.479999999999997
16.745733,16.57
17.314198,18.95
19.374039,20.52
20.421953,20.380000000000003
19.999802,21.15
21.20911,14.379999999999997
13.772108,11.719999999999999
12.47355,13.08
14.432085,12.199999999999998
12.816883,11.07
12.642272,13.469999999999999
15.05692,14.379999999999997
15.640831,15.33
16.725773,16.450000000000003
17.84278,17.900000000000002
19.006758,18.980000000000004
19.817503,18.86
19.563993,20.14
20.799736,15.58
15.369363,11.61
11.377639,11.279999999999998
12.460604,12.45
13.548079,13.890000000000002
14.954363,15.34
16.586878,15.06
16.062456,18.35
19.596893,18.86
19.02751,18.89
19.185713,20.15
20.8775,19.990000000000002
20.344643,21.18
21.542294,21.58
21.53103,23.24
23.46812,17.810000000000002
16.613504,17.55
18.596422,17.87
19.029982,18.49
20.07533,20.51
21.71714,22.170000000000005
23.225548,24.330000000000002
24.491861,23.870000000000005
23.900888,24.1
24.487204,24.09
24.373835,24.880000000000003
25.264338,25.02
25.25381,21.94
22.50412,22.520000000000003
23.182468,23.65
24.69139,23.6
24.168823,21.300000000000004
21.520409,22.630000000000003
23.81248,23.420000000000005
23.751131,21.300000000000004
21.538998,23.1
24.267351,24.46
24.623892,24.96
25.028872,25.86
25.898735,25.58
25.254421,26.069999999999993
26.10349,26.23999999999999
26.2897,25.49
25.28092,19.630000000000003
20.033504,18.71
19.963282,20.31
21.670937,21.87
22.816156,24.23
24.547064,24.690000000000005
24.281618,25.09
24.82984,24.97
24.791557,25.530000000000005
25.65028,25.8
25.845196,25.94
25.904493,25.91
25.932556,26.029999999999998
26.062943,24.55
24.496376,21.380000000000003
21.44137,19.910000000000004
21.249422,21.82
22.873898,22.21
22.699636,24.1
24.960058,22.240000000000002
22.207693,22.78
23.550474,25.989999999999995
26.488781,28.270000000000003
27.613842,27.329999999999995
26.680334,24.770000000000003
24.495699,24.55
25.115501,25.229999999999997
25.983803,26.059999999999995
26.558893,26.81
26.986032,27.05
26.840532,25.84
25.44361,24.300000000000004
